Designator,Mid X,Mid Y,Rotation,Layer
J3,-0.6875,-4.925,0.0,top
U1,42.5,0.0,90.0,top
U10,-39.322464,-16.144762,293.0,top
U11,-30.168927,-29.899773,315.0,top
U12,-16.353705,-39.146349,338.0,top
U13,0.0,-42.5,0.0,top
U14,16.144762,-39.322463,23.0,top
U15,29.917473,-30.186627,45.0,top
U16,39.146349,-16.353704,68.0,top
U17,-0.02,-18.0,90.0,top
U2,39.345563,16.154362,113.0,top
U3,30.186627,29.917473,135.0,top
U4,16.344104,39.123249,158.0,top
U5,0.0,42.5,180.0,top
U6,-16.154362,39.345564,203.0,top
U7,-29.899773,30.168927,225.0,top
U8,-39.146349,16.353705,248.0,top
U9,-42.475,0.0,270.0,top
