Designator,Mid X,Mid Y,Rotation,Layer
D1,127.33,-28.69,0.0,top
D10,109.330282,-145.225555,158.0,top
D11,89.37777,-133.07057,135.0,top
D12,75.503727,-114.105015,113.0,top
D13,69.85,-91.19,90.0,top
D14,73.314445,-68.170282,68.0,top
D15,85.469429,-48.21777,45.0,top
D16,104.434985,-34.343727,23.0,top
D17,132.35,-28.69,0.0,top
D18,154.985318,-34.087045,338.0,top
D19,173.857729,-47.844929,315.0,top
D2,150.347418,-32.165945,338.0,top
D20,186.109672,-67.894385,293.0,top
D21,189.85,-91.19,270.0,top
D22,184.472155,-113.829118,248.0,top
D23,170.69507,-132.697729,225.0,top
D24,150.645615,-144.949672,203.0,top
D25,127.35,-148.69,180.0,top
D26,104.710882,-143.312155,158.0,top
D27,85.84227,-129.53507,135.0,top
D28,73.590327,-109.485615,113.0,top
D29,69.85,-86.19,90.0,top
D3,170.322229,-44.309429,315.0,top
D30,75.227845,-63.550882,68.0,top
D31,89.004929,-44.68227,45.0,top
D32,109.054385,-32.430327,23.0,top
D4,184.196272,-63.274985,293.0,top
D5,189.85,-86.19,270.0,top
D6,186.385555,-109.209718,248.0,top
D7,174.23057,-129.162229,225.0,top
D8,155.265015,-143.036272,203.0,top
D9,132.35,-148.69,180.0,top
J4,139.425,-88.0025,270.0,top
R1,123.25,-28.69,90.0,top
R10,112.924949,-146.62277,248.0,top
R11,92.019823,-135.712577,225.0,top
R12,76.917576,-117.686885,203.0,top
R13,69.85,-95.19,180.0,top
R14,71.917229,-71.764949,158.0,top
R15,82.827423,-50.859823,135.0,top
R16,100.853114,-35.757576,113.0,top
R17,136.45,-28.69,90.0,top
R18,158.781651,-35.751229,68.0,top
R19,176.872577,-50.859823,45.0,top
R2,146.678851,-30.738029,68.0,top
R20,187.757323,-71.703514,23.0,top
R21,189.85,-95.19,0.0,top
R22,182.80787,-117.625451,338.0,top
R23,167.680177,-135.712577,315.0,top
R24,146.836485,-146.597323,293.0,top
R25,123.35,-148.69,270.0,top
R26,100.914549,-141.64787,248.0,top
R27,82.827423,-126.520177,225.0,top
R28,71.942676,-105.676485,203.0,top
R29,69.85,-82.19,180.0,top
R3,167.680177,-41.667423,45.0,top
R30,76.892129,-59.754549,158.0,top
R31,92.019823,-41.667423,135.0,top
R32,112.863514,-30.782676,113.0,top
R4,182.782423,-59.693114,23.0,top
R5,189.85,-82.19,0.0,top
R6,187.78277,-105.615051,338.0,top
R7,176.872577,-126.520177,315.0,top
R8,158.846885,-141.622423,293.0,top
R9,136.35,-148.69,270.0,top
U1,125.73,-88.685,0.0,top
U6,129.85,-110.69,0.0,top
U7,129.85,-66.69,180.0,top
